poi_id,poi_name,poi_type,poi_subtype,commentId,content,score,touristTypeDisplay,timeDuration,publishTypeTag,sortType,commentTagId
39027153,PO完美科技馆,知识科普型,科技馆,171440408,可以逛一趟的科技馆，有点意思的,4.0,,,2022-07-08 发布点评,,
13707434,七坡花卉园,知识科普型,植物园,157408402,里面有个农庄，正在建4星级的主题酒店，2万6就可以做他们的酒店房东了。听置业顾问讲，觉得挺划算的，享受的权益又多。等12月中旬正式对外了，去认领一份。有兴趣的朋友可以联系他们的人，这是V信号p258cc，拿去不谢，大家都叫我雷锋。,5.0,,,2018-12-11 发布点评,,
13707434,七坡花卉园,知识科普型,植物园,166861939,风景好，漂亮，美丽，适合游玩。,5.0,,,2021-06-18 发布点评,,
13707434,七坡花卉园,知识科普型,植物园,176054765,玩的特别开心 停车也方便 棒棒哒,5.0,,,2023-06-05 发布点评,,
79437570,三江侗族自治县博物馆,知识科普型,博物馆,211819315,三江侗族博物馆 三江侗族博物馆在县城中心，建筑是侗族鼓楼和风雨桥的结合体，远看就很有特色。馆内主要展示侗族的历史和文化，还有侗族服饰、银饰、乐器这些。博物馆不大，逛一圈用不了一小时，适合对民族文化感兴趣的人。免费开放，展品虽然不算特别多，但布置得很用心。如果时间不紧，进去慢慢看还是能了解不少侗族的故事。,4.0,朋友出游,1小时,2025-05-16 发布点评,,
79437570,三江侗族自治县博物馆,知识科普型,博物馆,206334262,记录详实，免费，实物多，值得一看。,5.0,家庭亲子,,2025-03-16 发布点评,,
102731079,三街两巷文化艺术中心,知识科普型,历史文化遗产,199863441,有点类似于北京的大栅栏，逛逛还是非常不错的，吃喝的门店很多，卖衣服的也很多，文化底蕴丰富。,5.0,朋友出游,,2024-12-17 发布点评,,
102731079,三街两巷文化艺术中心,知识科普型,历史文化遗产,169683062,白天和夜晚的都专门逛了一遍。 人都不少，晚上更多一点。 白天可以看的很清晰、随意。 晚上灯光营造的氛围感十足。 可以去逛逛。 在此之前去过成都的宽窄巷子、重庆的观音桥。 感觉都差不多了。有名的各省特产美食遍大街。 买什么吃的都有。 喝了鲜榨甘蔗水，好甜，下次可以尝尝椰子汁。 吃了酸野……暂时不合口味。 吃了炸假叶子夹肉，有点油，但可以尝尝。2元一片。 看到了摆着iu照片的韩式烤肉店，嗷嗷。 吃了🐙烧烤，一串25元，味道还可以吧。 吃了韩国百叶豆腐，就嫩豆腐加韩式烧烤酱的感觉，吃起来也行。也吃了臭豆腐，吃出了螺蛳粉的臭…… 买了酸奶大麻花，可以放两天，希望味道好一点。 买了荔园的老友饼。但是店员不知道有没有线上网店。 也看了随进随看随出的陶瓷博物馆，纸本艺术中心、城隍庙，挺省事。 吃食相对于景区来说，性价比还可以，味道也还行。就是及格吧。吃的话还是推荐吃一些没吃过的，其它各个地方的特产美食在景点感觉都差不多。 推荐逛里面的小型博物馆。 总体来说，还不错。,4.0,,,2022-02-27 发布点评,,
102731079,三街两巷文化艺术中心,知识科普型,历史文化遗产,167871968,三街两巷是南宁著名的历史文化街区，每座历史悠久的城市都有这样一条特色老街，南宁的特色老街就在三街两巷了。几条特色街巷，遍布南宁的特色餐饮和文创商店，其中还有城隍庙和邓颖超纪念馆这样的人文场所，也有一些年轻人喜欢的新式时尚餐饮，实现了历史与现代的融合，并且一定程度上保留了老的味道，因此，三街两巷的开发我认为是比较成功的。,5.0,,,2021-10-04 发布点评,,
102731079,三街两巷文化艺术中心,知识科普型,历史文化遗产,166828697,南宁新景区三街两巷，三街是指解放路、兴宁路和民生路三条老街，两巷是金狮巷、银狮巷两条古巷。这片区域很早以前就是南宁的繁华地段。2018年底改造后的历史街区—三街两巷正式开街。这里营造了浓重的老南宁商业文化氛围，是老南宁的历史、人文、艺术、民俗、传说等集中展现，是南宁兴衰的见证者，更是古邕城的城市社会缩影。,4.0,,,2021-06-14 发布点评,,
102731079,三街两巷文化艺术中心,知识科普型,历史文化遗产,175075666,最喜欢这里的书店，屋子是一个古民居的，拍照休息是那样的自在！中华大剧院邓颖超纪念馆都给我留下了美好的印象，对面就是雍江，可以在那里散步赏夜景,5.0,,,2023-03-03 发布点评,,
